date,open,high,low,close,volume
1502942460000,4261.48,4261.48,4261.48,4261.48,0
1502942520000,4280.56,4280.56,4280.56,4280.56,0.261074
1502942580000,4261.48,4261.48,4261.48,4261.48,0.012008
1502942640000,4261.48,4261.48,4261.48,4261.48,0.140796
1502942700000,4261.48,4261.48,4261.48,4261.48,0
1502942760000,4261.48,4261.48,4261.48,4261.48,0
1502942820000,4261.48,4261.48,4261.48,4261.48,0
1502942880000,4261.48,4261.48,4261.48,4261.48,0
1502942940000,4261.48,4261.48,4261.48,4261.48,0
1502943000000,4261.48,4261.48,4261.48,4261.48,0
1502943060000,4261.48,4261.48,4261.48,4261.48,0
1502943120000,4261.48,4261.48,4261.48,4261.48,0
1502943180000,4261.48,4261.48,4261.48,4261.48,0
1502943240000,4261.48,4261.48,4261.48,4261.48,0
1502943300000,4261.48,4261.48,4261.48,4261.48,0
1502943360000,4261.48,4261.48,4261.48,4261.48,0
1502943420000,4261.48,4264.88,4261.48,4264.88,0.075455
1502943480000,4264.88,4264.88,4264.88,4264.88,0
1502943540000,4261.48,4261.48,4261.48,4261.48,0.409211
1502943600000,4264.88,4264.88,4264.88,4264.88,1.483014
1502943660000,4264.88,4266.29,4264.88,4266.29,0.845556
1502943720000,4266.29,4266.29,4266.29,4266.29,0
1502943780000,4266.29,4266.29,4266.29,4266.29,0
1502943840000,4266.29,4266.29,4266.29,4266.29,0
1502943900000,4266.29,4266.29,4266.29,4266.29,0.467435
1502943960000,4266.29,4266.29,4266.29,4266.29,0
1502944020000,4266.29,4266.29,4266.29,4266.29,0.405513
1502944080000,4266.29,4266.29,4261.32,4266.29,2.963132
1502944140000,4270.41,4270.41,4261.45,4261.45,2.470549
1502944200000,4280,4280.56,4274.67,4280,1.696723
1502944260000,4274.67,4274.67,4274.67,4274.67,0.459109
1502944320000,4274.67,4274.67,4274.67,4274.67,0.702048
1502944380000,4267.99,4267.99,4267.99,4267.99,4.127747
1502944440000,4296.63,4296.63,4296.63,4296.63,0.952506
1502944500000,4300.38,4300.38,4300.38,4300.38,1.038218
1502944560000,4300.38,4300.38,4300.38,4300.38,0
1502944620000,4300.38,4300.38,4300.38,4300.38,0.64729
1502944680000,4300.38,4300.38,4300.38,4300.38,0.630048
1502944740000,4300.38,4300.38,4300.38,4300.38,3.31104
1502944800000,4300.38,4300.38,4300.38,4300.38,1.728714
1502944860000,4300.38,4300.38,4300.38,4300.38,0.945344
1502944920000,4300.38,4300.38,4300.38,4300.38,0.624984
1502944980000,4300.38,4310.07,4300.38,4310.07,0.979833
1502945040000,4301.03,4310.07,4301.03,4310.07,4.079948
1502945100000,4310.07,4310.07,4310.07,4310.07,0.129749
1502945160000,4310.07,4310.07,4310.07,4310.07,0.698374
1502945220000,4310.07,4310.07,4310.07,4310.07,0.292919
1502945280000,4310.07,4310.07,4310.07,4310.07,0.235205
1502945340000,4310.07,4310.07,4292.01,4292.01,1.091853
1502945400000,4292.01,4310.07,4292.01,4310.07,1.24766
1502945460000,4301.39,4313.62,4301.39,4313.62,0.611023
1502945520000,4313.61,4313.62,4313.6,4313.6,2.011601
1502945580000,4313.61,4313.61,4313.6,4313.6,0.563374
1502945640000,4313.6,4313.6,4313.6,4313.6,0.325225
1502945700000,4302.48,4313.6,4291.37,4291.37,4.635124
1502945760000,4313.6,4313.6,4313.6,4313.6,0.213562
1502945820000,4313.62,4313.62,4308.83,4308.83,1.332596
1502945880000,4308.83,4308.83,4308.83,4308.83,0
1502945940000,4308.83,4308.83,4308.83,4308.83,0.560266
1502946000000,4308.83,4308.83,4308.83,4308.83,0
1502946060000,4308.83,4308.83,4308.83,4308.83,0.136105
1502946120000,4308.83,4308.83,4308.83,4308.83,0
1502946180000,4308.83,4308.83,4308.83,4308.83,0.21717
